,pH,WHC_Eurofins,N.Tot_Eurofins,P.PAE_Eurofins,K_Eurofins,S.totaal_Eurofins,Mg_Eurofins,CEC_Eurofins,Ca.bez_Eurofins,OC_WUR,texture,Depth_2MPa,BD,fieldmoisture,MWD,PMN,GH_yield,disease_spread,Weightloss_manure,Management.spec,main.fertilizer.cat,till.depth,external.om.inputs,crop.diversity,cover.crop,Respiration,nema.count.gram,co-response_group_PMN,co-response_group_GH_yield,co-response_group_Weightloss_manure,co-response_group_disease_spread
SO08 1C,5.471,0.8,1750.0,0.5,14.0,290.0,44.0,42.0,57.0,23.8,1,21.25,1.3276,0.170409301,3.078445110079848,0.3026803568571429,0.6,6.0,0.111266815,2,2,25.0,0.0,4.0,0,0.222861052,44.66741858,0.05631882353652849,0.0999089706585177,0.14266343130345785,0.027791798923111007
SC08 1A,5.735,0.9,2100.0,0.7,73.0,345.0,102.0,45.0,60.0,25.3,1,32.25,1.2343,0.198030685,3.9070471949269927,0.2870711571785714,0.8,2.0,0.134100266,0,2,25.0,2485.0,4.0,0,0.345137232,60.47960046,0.04675249785794743,0.12136768659854541,0.1417677530653849,0.0346193385587873
SC08 1B,5.71,1.0,2520.0,0.6,122.0,485.0,135.0,52.0,71.0,28.7,1,29.5,1.1189,0.213602619,4.846728751989357,0.3322701673214286,0.58,3.0,0.124559464,0,2,25.0,2485.0,4.0,0,0.550736928,58.55901464,0.0515315772809481,0.0970494634544059,0.1344783255543472,0.029662596347001698
SC08 1C,5.844,0.8,2120.0,0.6,90.0,375.0,105.0,48.0,73.0,26.1,1,32.5,1.1341,0.179802459,4.387645905627242,0.3418346913571429,0.73,3.0,0.119876084,0,2,25.0,2485.0,4.0,0,0.298672615,70.52522518,0.05380440091160625,0.10822542147414971,0.1189894724675874,0.0357837768336242
SO35 1B,6.556,0.8,1320.0,1.2,35.0,300.0,199.0,78.0,73.0,28.5,1,6.75,1.3519,0.137281868,2.8552510857266937,0.1005367572142857,0.08,4.0,0.11444759,1,2,22.0,1846.0,7.0,0,0.143580638,25.27773951,0.0359237711686721,0.069592553269026,0.12857136858842672,0.023262635739531398
SC35A 1A,6.832,0.7,1190.0,1.2,50.0,240.0,171.0,72.0,78.0,23.9,1,26.25,1.3356,0.113657222,2.083831690371135,0.1623938580714285,0.17,5.0,0.109431937,0,1,22.0,4476.0,7.0,0,0.143992066,31.12589208,0.043296130314729,0.06814073023495221,0.1207541570393721,0.0221602854976989
SC35A 1B,6.897,0.9,1130.0,1.5,35.0,250.0,177.0,72.0,75.0,23.9,1,21.25,1.5055,0.109736541,3.2990284984559435,0.1506937769642857,0.34,5.0,0.108813342,0,1,22.0,4476.0,7.0,0,0.124024775,31.9661324,0.03392316841411275,0.07213410752278859,0.10988789561628201,0.027150118082740603
SC35A 1C,6.95,0.7,950.0,1.8,41.0,210.0,163.0,68.0,75.0,19.1,1,25.75,1.3589,0.090150288,3.372737748400048,0.1784093098214286,0.29,4.0,0.107487606,0,1,22.0,4476.0,7.0,0,0.091962074,23.05838757,0.0434566924366915,0.0728713192330276,0.11105286472554468,0.022987092397784802
SO34 1B,5.908,0.8,1650.0,2.7,15.0,280.0,46.0,66.0,79.0,27.0,1,24.25,1.2832,0.15651668,3.263363520353441,0.2927343475714285,0.14,1.0,0.123048566,1,2,18.0,0.0,4.0,2,0.422803204,55.97718089,0.04123755056272102,0.0773688070249536,0.1357303852362503,0.0240041088767385
SO34 1C,5.801,0.9,1670.0,2.5,11.0,305.0,38.0,67.0,78.0,28.4,1,22.5,1.2241,0.151561872,3.5625275859625645,0.2548979774285714,0.05,2.0,0.130990457,1,2,18.0,0.0,4.0,2,0.335110618,62.62417357,0.055185722732747806,0.0832497049060484,0.1330171426463993,0.027655148650102386
