,pH,WHC_Eurofins,N.Tot_Eurofins,P.PAE_Eurofins,K_Eurofins,S.totaal_Eurofins,Mg_Eurofins,CEC_Eurofins,Ca.bez_Eurofins,OC_WUR,Depth_2MPa,BD,fieldmoisture,MWD,PMN,GH_yield,disease_spread,Weightloss_manure,Management.spec,main.fertilizer.cat,till.depth,external.om.inputs,crop.diversity,cover.crop,Respiration,nema.count.gram,co-response_group_PMN,co-response_group_GH_yield,co-response_group_disease_spread,co-response_group_Weightloss_manure
MO76 1C,8.042,1.0,1100.0,0.9,95.0,535.0,64.0,129.0,91.0,14.629502730921851,27.5,1.59342,0.149809743,0.9396686207647804,0.0586992432142857,0.26,8.0,0.108183515,1,1,22.0,0.0,5.0,2,0.147548956,29.51221462,0.0543249893985308,0.061811847304726386,0.038098171418276,0.0873949774329739
MC54 3A,7.925,2.0,1860.0,1.6,146.0,2255.0,91.0,237.0,89.0,21.99416326530612,16.75,1.2613,0.178151889,3.4300342674905755,0.1035395953571428,0.14,2.0,0.094354462,0,0,23.0,0.0,7.0,0,0.142093078,31.00469121,0.045100543831029904,0.0702454252563846,0.04671343648991989,0.0738198166963246
MC76 1A,8.034,0.9,850.0,1.9,88.0,365.0,68.0,107.0,89.0,11.787084877591472,9.75,1.6803,0.133191549,1.4949512512139826,0.0832253919285714,0.31,6.0,0.106493934,0,1,25.0,5723.0,5.0,0,0.184776916,10.64228771,0.07427001120840929,0.0627709583774485,0.029684579496674503,0.0871808720605199
MC76 1B,8.025,1.5,1250.0,1.1,106.0,935.0,90.0,160.0,90.0,14.696402869806096,22.25,1.57986,0.164772409,2.1086839476722656,0.0893132859642857,0.01,6.0,0.104586506,0,1,25.0,5723.0,5.0,0,0.145759983,10.2683598,0.05558615425529161,0.06148462543920671,0.0211667429074755,0.08855996163628342
MC76 1C,8.013,0.9,940.0,1.2,79.0,515.0,68.0,118.0,90.0,12.055786682219669,14.5,1.40928,0.138144773,0.9993101250996408,0.3319748633928571,0.02,6.0,0.108698973,0,1,25.0,5723.0,5.0,0,0.167866864,4.827515253,0.0818843212445891,0.0614270868464542,0.0423995116701949,0.08780456400141941
MO44 1A,7.96,1.5,1130.0,1.1,90.0,780.0,69.0,148.0,93.0,15.849807519657473,11.5,1.266,0.18175547,0.7016441996669098,0.1085207904642857,0.09,5.0,0.11729698,1,1,19.0,0.0,7.0,1,0.375207758,16.57492246,0.0644286309881503,0.0500191426924815,0.022406324978527903,0.09369060247747431
MO44 1B,7.959,1.1,1100.0,1.1,61.0,425.0,58.0,136.0,94.0,15.259104360501944,19.0,1.4816,0.184803624,0.7147196803221025,0.3736742604642857,0.1,8.0,0.117878497,1,1,19.0,0.0,7.0,1,0.176949943,40.73573199,0.061128720567514394,0.03619293928955279,0.02358804191281906,0.0975966659987033
MC44 1B,8.054,1.1,970.0,0.6,38.0,475.0,47.0,126.0,94.0,10.992909811798915,21.75,1.3734,0.190509285,0.6991990153031498,0.0537820881071428,0.04,2.0,0.116961559,0,0,23.0,0.0,4.0,0,0.204700205,15.28849496,0.0569588796399871,0.0488088917759507,0.033202920362599704,0.08697107648247439
MC44 1C,8.093,1.4,1100.0,0.7,63.0,590.0,44.0,135.0,94.0,11.706836281382609,18.75,1.30905,0.18463357,0.7086739024985356,0.0561839251785714,0.09,8.0,0.109204019,0,0,23.0,0.0,4.0,0,0.174877179,12.49347145,0.0681229569500905,0.03966921934563909,0.0356558392956212,0.09804541979662408
MO14 1A,8.075,2.1,1430.0,4.3,54.0,245.0,101.0,194.0,87.0,11.632984777876867,26.25,1.36972,0.161335484,1.2253796385521485,0.10674561425,0.02,3.0,0.133840225,1,2,22.0,5850.0,9.0,2,0.198812061,8.036643249,0.0646125827816291,0.0623436242211107,0.0222932228146544,0.1040144558065117
MO14 1B,8.199,2.1,1350.0,5.9,57.0,225.0,101.0,192.0,86.0,12.07741537367266,16.25,1.46743,0.171205245,1.05344495281315,0.0901200211071428,0.3,8.0,0.116288502,1,2,22.0,5850.0,9.0,2,0.171925379,5.422792547,0.0579746822224492,0.07078404287294911,0.0274448907264694,0.1028911179751878
MO14 1C,8.193,1.7,1340.0,7.3,90.0,620.0,119.0,193.0,82.0,12.0623738997018,23.25,1.4395,0.165986831,0.8849160986274706,0.1165990112857142,0.01,4.0,0.125786505,1,2,22.0,5850.0,9.0,2,0.210176748,7.36853821,0.06755126016264519,0.0733121292567889,0.0208692904816084,0.1065020357157767
MO11 1A,8.09,2.1,1390.0,1.2,88.0,345.0,75.0,200.0,90.0,15.936288853333334,50.5,1.51288,0.164133107,1.7318001590652352,0.1009389469642857,0.43,0.0,0.119000663,1,3,20.0,11325.0,5.0,1,0.187537675,7.849180716,0.06163330418874081,0.0794685673744619,0.03184329209360286,0.10244103351805252
MO11 1B,8.066,2.1,1590.0,1.0,138.0,390.0,81.0,194.0,87.0,13.909181039771507,40.75,1.5694,0.169722942,1.8096008607677847,0.4844812833214286,0.02,4.0,0.10690982,1,3,20.0,11325.0,5.0,1,0.227023456,5.97564503,0.0736058998639385,0.0636352166869779,0.023374070901491087,0.10326551855617486
MO11 1C,8.041,2.1,1570.0,1.6,114.0,355.0,83.0,204.0,89.0,16.134120530340617,24.5,1.6245,0.164267624,1.001680742262083,0.0937211475,0.38,6.0,0.118574722,1,3,20.0,11325.0,5.0,1,0.204340295,6.897967317,0.0694197196295456,0.07861598989156202,0.029130065764773998,0.09904155890218459
MC11 1A,8.146,1.7,1060.0,1.4,96.0,225.0,56.0,150.0,89.0,9.81421531807386,1.0,1.31778,0.166125439,0.3995679648463572,0.0099216007499999,0.27,5.0,0.108193736,0,0,32.0,0.0,5.0,0,0.182053971,23.57790713,0.0459040371368156,0.06106502010896659,0.0317343938612345,0.07889865684669492
MO54 1B,7.808,2.2,2530.0,1.7,144.0,1860.0,96.0,264.0,89.0,24.47233359812616,12.5,1.447,0.182638573,2.50712040217033,0.0322306356071428,0.63,2.0,0.091856565,1,2,23.0,1530.0,5.0,1,0.267331225,19.73214639,0.0528973443418626,0.08675105591486941,0.0559384155424563,0.0760122277771542
MC11 1B,8.192,1.6,1170.0,1.8,95.0,205.0,55.0,153.0,89.0,10.378606951940808,1.75,1.35536,0.169717254,0.6118136787993804,0.0113925081428571,0.09,3.0,0.10843217,0,0,32.0,0.0,5.0,0,0.214132665,43.67031711,0.0577712818852236,0.07371161035446851,0.0329897924290359,0.085651365672787
MC11 1C,8.158,1.9,1110.0,1.6,49.0,195.0,48.0,161.0,92.0,10.06136954269694,3.75,1.3561,0.16571214,0.4012445298189317,0.1230958593928571,0.01,5.0,0.094404009,0,0,32.0,0.0,5.0,0,0.210271029,19.19234998,0.0445502178422642,0.0664263735028221,0.046437586315253604,0.08927418109865919
MO05 1B,7.99,1.5,1280.0,0.6,60.0,295.0,59.0,178.0,93.0,13.32540298519406,30.5,1.4582,0.156453716,1.0694118650486155,0.0281323536428571,0.21,4.0,0.090487348,1,3,22.0,1936.0,5.0,0,0.190645091,20.85721794,0.0678533373655916,0.0780269697962645,0.040349857180589,0.08899174587964319
MO05 1C,7.963,1.8,1280.0,0.6,61.0,245.0,56.0,181.0,93.0,13.07979472106388,24.5,1.5006,0.15620133,0.790561362783189,0.7993927670357144,0.41,3.0,0.106196648,1,3,22.0,1936.0,5.0,0,0.200507266,14.50784477,0.08185559231586781,0.073394282284825,0.0352073535466943,0.09414024382181402
MC05 1A,7.975,1.7,1100.0,0.6,65.0,185.0,59.0,164.0,93.0,11.5216769265347,0.75,1.3417,0.180695217,0.4174457330574898,0.0461699967142857,0.05,4.0,0.118360431,0,1,27.0,2433.2000000000003,6.0,0,0.169729904,22.45904495,0.0549417311764305,0.05598592261436491,0.031127232624897,0.08991229956831949
MC05 1B,8.034,1.6,1130.0,0.6,71.0,205.0,61.0,160.0,93.0,11.924972063985662,2.0,1.2572,0.181264608,0.9576292214676428,0.0379002788214285,0.4,3.0,0.109065455,0,1,27.0,2433.2000000000003,6.0,0,0.2282740879999999,55.08662788,0.05208831248697261,0.06452025954832488,0.04183854288075197,0.10401733082881869
MO06 1B,8.11,1.5,1230.0,1.5,62.0,215.0,67.0,173.0,92.0,13.997246810593392,31.0,1.3544,0.18168013,1.7967128096148517,0.0598216211071428,0.56,6.0,0.177092638,1,3,23.0,1936.0,7.0,0,0.278735992,23.84661724,0.067153370420727,0.08523836574727471,0.0370061822972736,0.1095765663868682
MO06 1C,8.154,1.8,1270.0,1.4,69.0,150.0,62.0,183.0,93.0,12.621022188777289,27.5,1.3379,0.17518475,1.7094178554314396,0.427732202,0.27,8.0,0.110881963,1,3,23.0,1936.0,7.0,0,0.188719392,15.65740232,0.0813242065849538,0.06536411940845191,0.025265031127999896,0.10317026717889521
MC06 1A,8.18,1.5,920.0,0.9,35.0,150.0,53.0,146.0,96.0,9.19305677394962,25.25,1.395,0.144351304,0.8578049209164743,0.0221864247142857,0.32,1.0,0.099473827,0,1,35.0,3590.0,4.0,0,0.151320659,10.58834306,0.060139924003502,0.0753667674187722,0.0322782108831818,0.09845572396527269
