,pH,WHC_Eurofins,N.Tot_Eurofins,P.PAE_Eurofins,K_Eurofins,S.totaal_Eurofins,Mg_Eurofins,CEC_Eurofins,Ca.bez_Eurofins,OC_WUR,Depth_2MPa,BD,fieldmoisture,MWD,PMN,GH_yield,disease_spread,Weightloss_manure,Management.spec,main.fertilizer.cat,till.depth,external.om.inputs,crop.diversity,cover.crop,Respiration,nema.count.gram,co-response_group_PMN,co-response_group_GH_yield,co-response_group_disease_spread,co-response_group_Weightloss_manure
MO10 1C,8.055,1.5,1050.0,0.9,89.0,150.0,52.0,162.0,92.0,10.0450142,19.5,1.5228,0.130204511,1.06124804500376,0.1409083994285714,0.16,0.0,0.105865825,1,2,30.0,5385.0,6.0,0,0.17942072,31.66796428,0.07274395138626528,0.0665727072591529,0.0224243057747373,0.08701958988793329
MC10 1A,8.077,1.6,1130.0,0.5,64.0,215.0,66.0,172.0,92.0,11.61058600896012,28.25,1.3263,0.171040828,1.5672745246133564,0.08214537325,0.32,2.0,0.102532416,0,1,25.0,2765.0,7.0,0,0.020566738,14.54728328,0.049603377792980595,0.0707913569392208,0.0318575562953842,0.08838875392701151
MC10 1B,8.005,1.8,1470.0,0.7,91.0,245.0,71.0,189.0,91.0,13.236468493206218,35.5,1.3047,0.181690684,1.1933017020681718,0.0614688995357142,0.94,5.0,0.105691281,0,1,25.0,2765.0,7.0,0,0.174466887,15.06079655,0.055108552370142394,0.0858187736390682,0.042951636229727294,0.069766627369164
MC10 1C,8.02,1.9,1360.0,0.8,75.0,245.0,74.0,192.0,92.0,13.13847634385813,26.75,1.2797,0.188088748,2.063671729976862,0.0763416222857142,0.37,0.0,0.099568083,0,1,25.0,2765.0,7.0,0,0.16363045,11.72950767,0.059516214767173496,0.0804250567934761,0.030617853407561298,0.0861134483207936
MO15 1A,7.764,1.6,1520.0,1.8,105.0,235.0,142.0,173.0,85.0,17.35594045871132,8.75,1.413,0.141026113,4.335639074451227,0.5723114708214286,0.61,7.0,0.099477226,1,2,25.0,1065.0,3.0,3,0.265939919,25.64029656,0.0550123657916981,0.07412886233480659,0.0321661139017609,0.08454896954656609
MO54 3B,7.943,2.0,1820.0,0.7,87.0,1870.0,72.0,232.0,91.0,19.519566027769176,49.75,1.08213,0.170141447,0.73942329218409,0.078252235,0.29,4.0,0.100528914,1,2,23.0,1530.0,5.0,1,0.196361998,11.87970656,0.05719811487880411,0.06422993599913221,0.03653477526460559,0.07555451920488909
MO15 1B,7.735,1.6,1660.0,2.4,84.0,285.0,144.0,196.0,87.0,16.73536842391197,15.0,1.4522,0.144445457,3.2830705344862725,0.7752945829642857,0.26,1.0,0.101905466,1,2,25.0,1065.0,3.0,3,0.189117868,36.62722794,0.0739470748825519,0.08906261163181949,0.040887723206886696,0.08106628897479799
MC15 1A,8.085,1.5,1390.0,4.3,168.0,255.0,161.0,169.0,86.0,12.851649376063389,21.25,1.4452,0.144734149,0.9338115937756636,0.4215798173214286,0.16,2.0,0.089950322,0,1,29.0,6845.0,6.0,1,0.225159805,32.3679973,0.0551121337328437,0.0694906433190354,0.0243756168077231,0.08648969680043869
MC15 1B,8.039,1.5,1260.0,2.7,127.0,215.0,112.0,170.0,89.0,11.62066918731164,16.0,1.3894,0.128187981,0.5319371896877727,0.0922021652857143,0.04,5.0,0.107629814,0,1,29.0,6845.0,6.0,1,0.130123768,24.19057143,0.044645827334817395,0.0625132437105962,0.011943980680306299,0.0885154202958895
MC15 1C,8.061,1.6,1140.0,1.9,68.0,205.0,113.0,159.0,90.0,12.824080682872111,29.5,1.425,0.133573089,1.1355759162099854,0.0966444716785714,0.09,3.0,0.104107289,0,1,29.0,6845.0,6.0,1,0.134694872,31.70446231,0.062756641196687,0.0672016056556669,0.0315760484475616,0.09064251882068028
MO17 1C,7.998,1.4,1190.0,2.1,120.0,245.0,81.0,143.0,92.0,12.862200759049342,19.75,1.4646,0.106458419,1.2876387648073098,0.1162358947857142,0.4,6.0,0.094563158,1,1,25.0,0.0,5.0,3,0.197492297,35.71366283,0.06288874215481371,0.0741162940408478,0.024125704224926898,0.0912584965096254
MO54 3C,7.901,2.2,1940.0,0.8,94.0,1955.0,75.0,240.0,92.0,21.091038065627185,37.0,1.0543,0.169985048,3.4426340596694125,0.3005193072857143,0.03,3.0,0.102104613,1,2,23.0,1530.0,5.0,1,0.145613987,14.87669628,0.059620263626113695,0.0632690651181817,0.0360672171684445,0.085140516621284
MO26 1A,7.779,1.8,2310.0,3.4,110.0,470.0,110.0,202.0,88.0,21.440043782986105,22.5,1.3837,0.157877417,3.415754848492205,0.0726159263571429,0.19,1.0,0.098472333,1,2,21.0,2610.0,4.0,3,0.355171203,37.97859658,0.0420454739289384,0.06943851527426752,0.047073662985119114,0.07946678743974309
MO26 1C,7.784,1.7,2150.0,1.7,106.0,415.0,111.0,178.0,86.0,20.559554421435987,14.25,1.3845,0.16227946,3.581146771856361,0.0692644087857143,0.13,0.0,0.108018509,1,2,21.0,2610.0,4.0,3,0.241715371,36.09981322,0.04545314992556029,0.0620299707477363,0.0368868003848518,0.09763745205178312
MC26 2A,8.01,1.1,1060.0,2.2,91.0,210.0,64.0,125.0,90.0,11.305628842436876,28.25,1.407,0.17378162,0.5164660871064569,0.0707881757142857,0.64,4.0,0.101503723,0,1,26.0,0.0,5.0,1,0.187056406,25.13979182,0.0534275747479475,0.0721823898140809,0.05141706306284409,0.077539108659356
MC26 2B,8.042,1.1,1060.0,2.2,117.0,255.0,66.0,127.0,90.0,11.971229356708834,17.5,1.4053,0.171660107,0.7586951857939647,0.0596121021428571,0.37,3.0,0.091380458,0,1,26.0,0.0,5.0,1,0.164591042,43.38414826,0.060272716723414,0.056751655219455695,0.0372941853512696,0.07102140839816298
MC26 2C,8.052,1.1,930.0,1.8,77.0,265.0,62.0,130.0,91.0,10.852910532745485,28.0,1.36,0.187962052,0.6777769961816525,0.0237488502142857,0.04,2.0,0.087258703,0,1,26.0,0.0,5.0,1,0.153654633,29.39366063,0.049726743050258405,0.07055947936922348,0.053767222483218,0.07217416212892289
MO08 1A,7.945,1.2,1600.0,3.1,41.0,315.0,54.0,150.0,93.0,14.161255420650114,9.5,1.5286,0.130341813,2.465449495213929,0.1047718429642857,0.27,2.0,0.103413263,1,1,22.0,0.0,7.0,0,0.203485051,33.27516118,0.055664698122561404,0.07456550523142619,0.0324547014470714,0.08123176897501087
MO08 1B,7.939,1.3,1620.0,2.9,43.0,275.0,49.0,157.0,94.0,14.175537588800251,15.5,1.4562,0.122631579,1.592359129505604,0.5006590831428571,0.21,0.0,0.105557789,1,1,22.0,0.0,7.0,0,0.147850303,35.88716149,0.08525786140292702,0.0628868436332562,0.03798840920103311,0.09014655825964141
MO08 1C,7.945,1.4,1480.0,1.5,53.0,345.0,52.0,158.0,92.0,15.960793807463498,15.0,1.3016,0.143829918,2.372267525769834,0.2515894094285714,0.06,2.0,0.084878679,1,1,22.0,0.0,7.0,0,0.225931021,29.93252903,0.0696813555756194,0.056600136060910806,0.0301035029223196,0.0743778409071859
