,pH,WHC_Eurofins,N.Tot_Eurofins,P.PAE_Eurofins,K_Eurofins,S.totaal_Eurofins,Mg_Eurofins,CEC_Eurofins,Ca.bez_Eurofins,OC_WUR,Depth_2MPa,BD,fieldmoisture,MWD,PMN,GH_yield,disease_spread,Weightloss_manure,Management.spec,main.fertilizer.cat,till.depth,external.om.inputs,crop.diversity,cover.crop,Respiration,nema.count.gram,co-response_group_PMN,co-response_group_GH_yield,co-response_group_disease_spread,co-response_group_Weightloss_manure
SO52 1A,5.601,0.8,1200.0,6.6,88.0,200.0,39.0,32.0,59.0,17.1,30.75,1.5114,0.089457083,3.2249165337680834,0.1630535975714286,0.02,4.0,0.107239827,2,0,25.0,1224.0,4.0,1,0.194805968,13.09853158,0.0155845700870041,0.0536278727384652,0.049979841589954895,0.0052551782786272
SO52 2A,5.831,1.1,1900.0,1.4,93.0,305.0,83.0,64.0,63.0,22.3,18.75,1.3468,0.177873793,3.344416457693516,0.2080720229285714,0.22,5.0,0.124561271,2,0,25.0,1224.0,3.0,1,0.324213597,62.71272466,0.028312205414796995,0.055581566875767104,0.0529436852750824,0.0150900013311554
SO52 2B,5.829,1.2,2120.0,1.5,71.0,325.0,96.0,78.0,67.0,25.6,20.0,1.3731,0.180491303,3.873103930155216,0.2147438593571429,0.01,8.0,0.107777263,2,0,25.0,1224.0,3.0,1,0.255057588,70.46832617,0.0199757633832966,0.0602170692906414,0.0451727956433031,0.009303602775480101
SO52 2C,5.855,1.3,2360.0,1.6,59.0,385.0,123.0,89.0,78.0,26.2,23.0,1.25817,0.189981714,4.381549445523001,0.2659771733214286,0.17,1.0,0.115997053,2,0,25.0,1224.0,3.0,1,0.29702958,69.06517654,0.0251794889769593,0.07604114517326371,0.05961365866741411,0.0071739605244632
SC05 1A,5.478,0.7,1080.0,11.1,120.0,200.0,55.0,34.0,74.0,17.1,20.25,1.3042,0.108251922,3.875228981284639,0.5722473481071428,0.54,5.0,0.107277947,1,0,20.0,1185.0,4.0,1,0.138187864,52.15319075,0.033842340792997326,0.07556955428437599,0.038408505497074204,0.0033511534560349025
SC52 1A,6.556,0.8,1220.0,5.9,88.0,290.0,115.0,64.0,78.0,15.8,24.25,1.32785,0.123414421,3.22480894543437,0.0126331849999999,0.36,4.0,0.109014848,1,2,27.0,5275.0,2.0,1,0.221984187,38.34681398,0.0102017987234784,0.0701200325068802,0.0479694569148588,0.009931654916934513
SC52 1B,6.258,0.8,1310.0,5.7,89.0,240.0,93.0,56.0,77.0,17.6,26.75,1.1757,0.113069101,4.585530709106829,0.1163170694642857,0.0,6.0,0.106321787,1,2,27.0,5275.0,2.0,1,0.224034177,51.47798238,0.0118198084069696,0.0637547449007416,0.046254305520333806,0.0058102784637227
SC52 1C,6.073,0.8,1140.0,4.6,61.0,220.0,74.0,46.0,70.0,16.8,25.75,1.47433,0.119933211,3.756177829843003,0.2401925401428571,0.02,6.0,0.113803332,1,2,27.0,5275.0,2.0,1,0.173839269,37.41953777,0.0098760350202055,0.0475088934994668,0.057819219543989595,0.004399058953244616
SC52 2A,6.231,0.9,1350.0,1.7,51.0,250.0,93.0,55.0,71.0,20.9,25.0,1.4491,0.125549026,3.5772480735219254,0.1348953843928571,0.07,5.0,0.09512884,1,2,27.0,5275.0,2.0,1,0.212234656,47.24933086,0.012919738719302298,0.0576073768355049,0.062002351605950294,0.0030656695620175
SC52 2B,6.22,0.9,1320.0,2.9,39.0,270.0,86.0,57.0,72.0,19.8,26.5,1.2985,0.121677201,2.456810122920176,0.0945348603571428,0.08,5.0,0.102556371,1,2,27.0,5275.0,2.0,1,0.342572171,59.4089071,0.0132013723701005,0.060555650794199695,0.06881632184923779,0.0029621534280491785
